name,gt,vlm,pipeline,final,source,match,confidence,rule_applied,reasoning
video_0014.mp4,compliant,COMPLIANT,compliant,compliant,vlm+pipeline agree,True,high,,
video_0023.mp4,compliant,COMPLIANT,compliant,compliant,vlm+pipeline agree,True,high,,
video_0025.mp4,compliant,COMPLIANT,jaywalking,compliant,vlm high confidence,True,high,,
video_0003.mp4,jaywalking,COMPLIANT,jaywalking,compliant,vlm high confidence,False,high,,
video_0006.mp4,jaywalking,JAYWALKING,jaywalking,jaywalking,vlm+pipeline agree,True,high,,
video_0011.mp4,jaywalking,JAYWALKING,compliant,jaywalking,vlm high confidence,True,high,,
video_0012.mp4,jaywalking,JAYWALKING,jaywalking,jaywalking,vlm+pipeline agree,True,high,,
video_0016.mp4,jaywalking,JAYWALKING,jaywalking,jaywalking,vlm+pipeline agree,True,high,,
video_0028.mp4,jaywalking,JAYWALKING,jaywalking,jaywalking,vlm+pipeline agree,True,high,,
video_0030.mp4,jaywalking,JAYWALKING,jaywalking,jaywalking,vlm+pipeline agree,True,high,,
video_0032.mp4,jaywalking,JAYWALKING,jaywalking,jaywalking,vlm+pipeline agree,True,high,,
video_0035.mp4,jaywalking,JAYWALKING,jaywalking,jaywalking,vlm+pipeline agree,True,high,,
video_0037.mp4,jaywalking,JAYWALKING,jaywalking,jaywalking,vlm+pipeline agree,True,high,,
