name,gt,pred,match
video_0014.mp4,compliant,compliant,True
video_0035.mp4,jaywalking,jaywalking,True
video_0053.mp4,jaywalking,jaywalking,True
video_0054.mp4,jaywalking,compliant,False
video_0073.mp4,jaywalking,jaywalking,True
video_0083.mp4,compliant,compliant,True
video_0087.mp4,compliant,compliant,True
video_0099.mp4,compliant,jaywalking,False
video_0104.mp4,jaywalking,jaywalking,True
video_0110.mp4,jaywalking,jaywalking,True
video_0123.mp4,compliant,compliant,True
video_0133.mp4,jaywalking,jaywalking,True
video_0150.mp4,compliant,jaywalking,False
video_0160.mp4,compliant,compliant,True
video_0168.mp4,compliant,jaywalking,False
video_0191.mp4,compliant,compliant,True
video_0198.mp4,compliant,compliant,True
video_0212.mp4,compliant,compliant,True
video_0238.mp4,compliant,jaywalking,False
video_0240.mp4,compliant,compliant,True
video_0241.mp4,compliant,jaywalking,False
video_0251.mp4,compliant,compliant,True
video_0312.mp4,compliant,compliant,True
video_0314.mp4,compliant,compliant,True
video_0336.mp4,jaywalking,jaywalking,True
