name,gt,pred,match,confidence,reasoning
video_0014.mp4,compliant,COMPLIANT,True,high,
video_0035.mp4,jaywalking,JAYWALKING,True,high,
video_0053.mp4,jaywalking,JAYWALKING,True,high,
video_0054.mp4,jaywalking,JAYWALKING,True,medium,
video_0073.mp4,jaywalking,JAYWALKING,True,high,
video_0083.mp4,compliant,COMPLIANT,True,high,
video_0087.mp4,compliant,COMPLIANT,True,high,
video_0099.mp4,compliant,COMPLIANT,True,high,
video_0104.mp4,jaywalking,JAYWALKING,True,high,
video_0110.mp4,jaywalking,COMPLIANT,False,high,
video_0123.mp4,compliant,COMPLIANT,True,medium,
video_0133.mp4,jaywalking,JAYWALKING,True,high,
video_0150.mp4,compliant,COMPLIANT,True,high,
video_0160.mp4,compliant,COMPLIANT,True,high,
video_0168.mp4,compliant,COMPLIANT,True,high,
video_0191.mp4,compliant,COMPLIANT,True,high,
video_0198.mp4,compliant,COMPLIANT,True,high,
video_0212.mp4,compliant,COMPLIANT,True,medium,
video_0238.mp4,compliant,COMPLIANT,True,high,
video_0240.mp4,compliant,COMPLIANT,True,high,
video_0241.mp4,compliant,COMPLIANT,True,high,
video_0251.mp4,compliant,COMPLIANT,True,high,
video_0312.mp4,compliant,COMPLIANT,True,high,
video_0314.mp4,compliant,COMPLIANT,True,high,
