name,gt,pred,match,reason,verdict,frames,persons,tl_red,tl_green,tl_unknown,zebra_pct
video_0014.mp4,compliant,compliant,True,green light,correct,270,1,0,128,12,100
video_0023.mp4,compliant,jaywalking,False,SIGNAL_VIOLATION,ambiguous,240,4,2,22,100,98
video_0025.mp4,compliant,compliant,True,green light,correct,210,8,0,93,17,97
video_0003.mp4,jaywalking,jaywalking,True,SIGNAL_VIOLATION,correct,210,7,18,49,0,99
video_0006.mp4,jaywalking,compliant,False,green light,correct,330,23,0,170,0,100
video_0011.mp4,jaywalking,jaywalking,True,SIGNAL_VIOLATION,correct,270,1,2,107,17,100
video_0012.mp4,jaywalking,jaywalking,True,SIGNAL_VIOLATION,correct,120,3,4,11,0,98
video_0016.mp4,jaywalking,compliant,False,green light,correct,210,19,0,110,0,94
video_0028.mp4,jaywalking,compliant,False,green light,correct,240,16,0,125,0,100
video_0030.mp4,jaywalking,jaywalking,True,SIGNAL_VIOLATION,correct,180,5,16,79,0,100
video_0032.mp4,jaywalking,compliant,False,green light,correct,240,3,0,125,0,98
video_0035.mp4,jaywalking,jaywalking,True,SIGNAL_VIOLATION,wrong,180,1,19,75,1,88
video_0037.mp4,jaywalking,compliant,False,green light,wrong,300,7,0,124,31,96
